geoid,name,B01003001,"B01003001, Error"
86000US11418,"11418",36304,2393
86000US11419,"11419",46938,2309
86000US11420,"11420",50060,2727
86000US11421,"11421",41937,2528
86000US11422,"11422",33085,2165
86000US11423,"11423",29105,1751
86000US11424,"11424",0,13
86000US11426,"11426",19638,1841
86000US11427,"11427",25124,1846
86000US11428,"11428",18898,1520
86000US11429,"11429",27933,1841
86000US11430,"11430",448,14
86000US11432,"11432",63730,2710
86000US11433,"11433",37777,2566
86000US11434,"11434",67611,2836
86000US11435,"11435",58424,2794
86000US11436,"11436",21364,1277
86000US11439,"11439",2171,71
86000US11451,"11451",0,13
86000US11509,"11509",1747,341
86000US11559,"11559",9130,596
86000US11580,"11580",42644,2155
86000US11581,"11581",22652,1622
86000US11691,"11691",68704,3483
86000US11692,"11692",23247,1852
86000US11693,"11693",13066,1295
86000US11694,"11694",21430,1688
86000US11697,"11697",4123,790
